feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23,class
56,151,11,29,15,0,0,0,0,0,0,1,4,2,2,2,0,1,3,2,5,12,0,0
57,151,11,29,22,1,1,2,0,0,0,2,8,4,3,0,3,0,6,4,8,13,1,0
58,151,12,29,23,0,1,1,0,0,0,2,4,3,8,0,2,1,3,3,5,16,1,0
59,151,12,29,9,0,1,0,0,0,0,1,2,2,2,2,0,0,2,2,4,7,0,0
60,151,12,29,19,0,0,0,1,1,0,0,5,3,0,1,3,0,4,3,5,12,1,0
61,151,12,29,32,0,1,1,0,0,0,1,8,4,3,2,4,2,8,4,9,24,1,0
62,151,12,29,12,0,0,0,0,0,0,0,3,3,1,1,2,1,2,3,4,9,0,0
63,151,12,29,12,0,1,1,0,0,0,2,4,2,2,1,0,1,3,2,4,5,1,0
64,151,13,29,7,0,0,0,0,0,0,0,2,1,1,0,1,0,2,1,3,6,1,0
65,151,13,29,21,0,2,2,0,0,0,4,7,5,0,2,1,2,5,5,9,16,0,0
66,151,13,29,29,0,2,1,0,0,0,1,5,5,5,1,5,0,4,5,9,26,1,0
67,151,13,29,21,0,1,1,0,0,0,0,4,5,5,1,2,1,4,5,7,16,1,0
68,151,13,29,4,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,4,0,0
69,151,14,29,20,0,4,3,0,0,0,3,6,4,2,2,0,3,5,4,8,17,1,0
70,151,14,29,14,0,3,3,0,0,1,4,5,2,2,2,0,0,3,2,4,8,1,0
71,151,14,29,26,0,1,1,1,1,0,1,6,5,3,1,2,1,5,4,9,20,2,0
72,151,14,29,25,0,3,2,0,0,0,3,8,5,0,1,2,3,6,5,7,15,1,0
73,151,15,29,24,0,0,0,1,1,0,0,6,4,1,2,2,2,5,4,7,16,1,0
74,151,15,29,12,1,0,0,1,1,1,0,3,1,3,0,2,0,2,1,2,5,1,0
75,151,15,29,11,0,0,0,0,0,0,0,3,1,1,2,1,1,2,1,3,8,0,0
76,151,16,29,11,0,1,1,0,0,0,0,5,1,1,0,1,1,3,1,2,4,0,0
77,151,16,29,23,0,0,0,0,0,0,0,6,1,2,2,3,3,6,1,5,17,0,0
78,151,16,29,17,0,0,0,0,0,1,0,3,2,2,0,2,1,3,2,5,14,1,0
79,151,16,29,8,0,1,1,0,0,0,2,4,1,1,0,0,0,3,1,3,5,0,0
80,151,16,29,16,0,1,1,0,0,1,0,3,1,3,2,3,1,3,1,2,9,0,0
81,151,16,29,26,0,1,1,0,0,0,2,8,3,3,0,4,2,4,3,6,16,0,0
82,151,16,29,7,0,0,0,0,0,0,1,2,2,1,1,0,0,2,2,2,4,0,0
83,151,17,29,21,0,2,2,0,0,1,0,8,2,2,0,1,3,7,2,4,9,1,0
84,151,17,29,24,0,1,1,0,0,0,1,7,3,5,0,4,1,7,2,5,9,1,0
85,151,17,29,20,0,2,2,1,1,0,0,5,5,2,1,2,2,5,4,8,16,2,0
86,151,17,29,15,0,2,1,0,0,0,2,6,1,3,1,3,0,5,1,4,8,0,0
87,151,17,29,25,0,1,1,0,0,0,0,7,4,4,2,3,1,6,4,8,15,2,0
88,151,18,29,7,0,0,0,0,0,0,0,2,1,0,1,0,0,2,1,3,6,1,0
89,151,18,29,28,0,1,1,0,2,3,5,11,1,2,2,4,1,8,1,4,12,3,0
90,151,18,29,10,0,0,0,0,0,0,0,2,2,0,1,1,0,2,2,4,10,0,0
91,151,18,29,9,0,0,0,0,0,0,0,2,0,3,1,1,1,2,0,2,7,0,0
92,151,19,29,14,0,0,0,0,0,1,0,4,3,2,0,2,0,3,3,6,12,0,0
93,151,19,29,15,0,1,1,0,0,0,0,5,1,2,2,3,0,3,1,3,8,2,0
94,151,19,29,5,0,0,0,0,0,0,0,1,0,1,3,0,0,1,0,1,5,0,0
95,151,19,29,11,0,0,0,0,0,0,1,3,2,2,1,0,0,2,2,2,7,0,0
96,151,19,29,15,0,0,0,0,0,0,1,2,3,1,2,1,2,2,3,5,14,1,0
97,151,19,29,8,0,1,1,0,0,0,0,2,2,1,0,1,0,2,1,3,5,0,0
98,151,19,29,18,0,1,1,0,0,2,0,7,2,1,0,4,0,5,2,5,10,1,0
99,151,20,29,4,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,2,3,1,0
100,151,20,29,27,1,3,4,0,0,0,2,8,6,1,2,1,2,7,6,9,19,1,0
101,151,20,29,5,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,2,5,0,0
102,151,20,29,31,0,3,3,0,0,0,3,8,6,2,1,4,0,6,6,11,25,1,0
103,151,20,29,3,1,1,1,0,0,0,0,2,0,1,0,0,0,2,0,1,1,0,0
104,151,20,29,21,0,1,1,0,0,0,0,5,5,0,3,2,1,5,4,7,16,0,0
105,151,20,29,4,0,1,1,0,0,0,0,2,0,0,0,1,0,2,0,1,1,0,0
106,151,20,29,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,2,0,0
107,151,21,29,16,0,1,1,0,0,0,2,5,2,0,3,2,0,3,2,4,10,0,0
108,151,21,29,46,0,1,1,0,0,0,1,10,7,6,6,7,1,9,5,12,36,1,0
109,151,22,29,11,0,0,0,0,0,1,0,0,1,2,0,1,1,0,1,1,11,0,0
110,151,22,29,20,0,2,2,0,0,0,0,3,4,0,3,1,2,2,4,6,17,0,0
111,151,22,29,15,0,1,1,1,0,0,2,5,1,3,0,3,1,4,1,5,13,1,0
112,151,22,29,32,0,1,1,0,0,0,1,3,7,6,1,5,3,3,6,9,29,1,0
113,151,23,29,7,0,0,0,0,2,1,1,2,2,0,0,0,0,2,2,4,6,2,0
114,151,23,29,17,0,0,0,2,1,0,0,3,2,4,1,2,0,3,2,4,10,2,0
115,151,23,29,17,0,0,0,0,0,0,1,4,2,2,2,3,1,4,2,5,13,0,0
116,151,23,29,21,0,0,0,0,0,0,0,4,3,3,3,1,1,4,2,5,15,0,0
117,151,23,29,8,0,0,0,0,0,1,1,2,1,2,1,0,0,1,1,2,6,1,0
118,151,23,29,19,0,2,1,0,0,0,1,5,3,3,3,0,3,5,2,5,16,0,0
119,151,23,29,20,0,0,0,1,2,3,1,7,2,2,0,2,0,5,2,5,10,3,0
120,151,23,29,33,0,1,0,1,0,2,2,8,2,4,4,3,4,8,2,5,19,1,0
121,151,24,29,4,0,1,1,0,0,0,2,1,1,0,1,0,0,1,1,2,3,0,0
122,151,24,29,16,0,2,1,0,2,2,4,5,2,3,1,0,0,4,2,5,9,2,0
123,151,24,29,11,0,0,0,0,0,0,0,3,2,0,3,1,1,2,1,3,8,0,0
124,151,24,29,31,0,2,2,0,1,0,3,8,7,1,2,2,2,5,6,10,24,1,0
125,151,24,29,20,0,0,0,1,0,1,1,4,4,3,0,3,0,4,3,5,11,1,0
126,151,24,29,16,0,1,0,0,0,0,0,4,2,1,4,0,1,3,2,4,12,1,0
127,151,25,29,21,0,1,1,0,0,0,0,7,4,3,2,2,1,5,3,7,12,2,0
128,151,25,29,15,0,1,1,0,0,0,0,3,4,2,0,2,3,3,4,6,13,0,0
129,151,25,29,34,0,1,1,0,1,1,0,9,3,3,2,6,2,8,3,9,27,2,0
130,151,25,29,21,0,6,4,1,1,0,5,8,2,2,2,4,1,5,2,3,10,1,0
131,151,25,29,16,0,2,2,1,0,0,2,4,3,3,0,2,1,4,3,7,15,1,0
132,151,25,29,10,0,1,0,0,0,0,0,3,1,2,1,1,0,3,1,4,8,1,0
133,151,26,29,11,0,0,0,0,2,1,1,4,1,1,0,0,0,3,1,4,8,2,0
134,151,26,29,22,0,1,1,0,0,0,2,8,2,2,2,3,2,7,2,6,12,1,0
135,151,26,29,17,0,2,2,0,0,0,2,7,2,2,1,0,1,4,2,5,8,1,0
136,151,26,29,29,0,2,0,0,0,0,2,6,3,3,4,5,2,5,3,7,22,1,0
137,151,26,29,14,0,1,1,0,0,0,1,5,2,1,0,2,0,4,2,3,4,0,0
138,151,26,29,28,0,2,3,0,0,0,2,7,5,2,1,6,0,4,4,7,18,1,0
139,151,27,29,17,0,0,0,0,2,3,2,6,2,0,0,2,0,3,2,5,12,2,0
140,151,27,29,14,0,1,1,0,0,0,0,4,2,2,2,2,1,3,2,4,9,0,0
141,151,27,29,10,0,2,2,0,0,0,1,5,2,1,1,0,1,4,2,4,6,1,0
142,151,27,29,19,1,0,0,0,0,0,0,5,1,2,3,2,1,4,1,4,10,0,0
143,151,27,29,14,0,0,0,0,0,0,0,3,2,1,1,0,2,3,2,3,10,0,0
144,151,28,29,5,0,0,0,0,0,0,0,2,1,0,1,0,0,1,1,2,3,0,0
145,151,28,29,11,0,2,2,0,0,0,1,3,2,1,2,1,1,3,2,5,11,1,0
146,151,28,29,11,0,2,2,0,0,0,1,4,0,1,2,2,0,2,0,2,8,1,0
147,151,28,29,11,0,0,0,0,0,0,0,1,3,0,3,0,1,1,2,3,9,0,0
148,151,28,29,30,0,0,0,0,0,0,0,7,4,3,4,3,2,7,4,9,20,1,0
149,151,29,29,14,0,0,0,1,3,2,1,5,2,0,0,1,0,3,2,4,7,2,1
150,151,29,29,15,0,0,0,1,1,0,0,6,0,1,0,4,0,4,0,2,7,1,0
151,151,29,29,29,0,0,0,1,0,0,1,7,4,4,3,3,3,5,4,8,24,1,0
1,73,1,19,21,0,1,1,3,3,2,2,5,3,1,2,2,1,4,3,5,14,3,1
2,73,1,19,17,0,0,0,2,1,1,1,3,3,3,0,2,2,3,2,4,11,2,1
3,73,1,19,13,0,0,0,4,2,2,2,2,2,1,0,2,0,2,2,4,11,3,0
4,73,1,19,11,0,1,1,6,2,3,2,5,0,0,0,2,0,4,0,3,7,3,0
5,73,2,19,22,0,0,0,4,2,3,2,7,1,1,2,3,2,5,1,5,16,3,0
6,73,2,19,22,0,0,0,5,2,5,2,8,1,1,0,3,0,7,1,4,8,4,1
7,73,2,19,18,0,0,0,4,2,5,2,5,1,3,0,1,1,5,1,4,8,3,1
8,73,3,19,33,0,0,0,2,1,2,2,6,4,4,2,3,0,6,4,8,23,2,0
9,73,3,19,8,0,0,0,0,0,0,0,4,0,0,0,2,0,3,0,1,2,0,0
10,73,3,19,18,0,0,0,2,1,1,1,4,1,4,2,1,1,3,1,3,13,2,0
11,73,3,19,25,0,0,0,2,1,1,1,8,2,3,1,5,0,7,2,5,9,2,0
12,73,3,19,17,0,0,0,2,1,1,1,4,2,3,2,2,1,4,2,4,8,2,0
13,73,3,19,17,0,0,0,2,1,1,2,5,1,1,3,1,1,3,1,3,12,2,0
14,73,4,19,44,0,1,0,4,2,4,3,16,3,3,1,5,3,12,3,11,21,3,0
15,73,4,19,14,0,0,0,0,1,0,0,5,2,1,0,2,0,4,2,3,4,1,0
16,73,4,19,24,0,0,0,3,2,2,2,7,2,4,2,1,1,6,2,6,13,3,0
17,73,4,19,18,0,1,1,3,2,3,3,7,2,2,1,0,0,4,2,5,9,3,0
18,73,5,19,13,0,0,0,4,2,3,2,3,1,1,1,2,0,3,1,4,11,3,0
19,73,5,19,19,0,1,1,2,1,3,3,8,0,0,0,4,1,6,0,1,1,2,0
20,73,5,19,23,0,1,1,3,2,4,3,7,1,2,2,2,1,6,1,5,12,3,0
21,73,5,19,26,0,0,1,2,1,1,2,8,1,2,4,3,1,6,1,6,17,2,0
22,73,5,19,16,0,0,0,2,2,2,1,1,3,2,2,3,1,1,3,4,15,2,0
23,73,6,19,28,0,0,0,4,2,5,3,8,1,2,1,5,1,7,1,4,15,3,0
24,73,6,19,26,0,1,1,2,1,4,1,11,1,1,0,4,1,8,1,4,7,3,0
25,73,6,19,18,0,0,0,3,2,6,1,7,0,2,0,1,1,6,0,2,3,3,0
26,73,6,19,7,0,1,1,0,1,0,2,5,1,0,0,0,0,2,1,1,1,1,0
27,73,7,19,25,0,0,0,4,2,3,2,10,2,0,0,2,0,7,2,5,12,3,0
28,73,7,19,25,0,0,0,4,2,2,1,6,3,3,4,2,1,5,3,7,20,4,0
29,73,7,19,19,0,0,0,0,0,1,0,5,3,2,1,2,0,5,3,6,13,0,0
30,73,7,19,9,0,0,0,2,1,1,1,2,2,0,1,2,0,2,2,4,8,2,0
31,73,8,19,7,0,1,1,0,0,0,0,2,2,0,1,1,0,2,2,4,7,0,0
32,73,8,19,12,0,1,1,0,1,1,3,5,2,1,0,1,0,4,1,3,5,4,1
33,73,8,19,23,0,1,2,4,2,4,5,8,3,0,0,4,0,7,3,6,12,3,0
34,73,8,19,23,0,1,1,0,0,0,1,8,1,3,2,4,0,5,1,4,11,2,0
35,73,8,19,6,0,0,0,0,0,0,0,2,1,1,0,1,0,2,1,3,4,0,0
36,73,9,19,6,0,0,0,0,0,0,0,1,3,0,0,0,0,1,2,3,5,0,0
37,73,9,19,27,0,2,1,5,3,5,5,7,3,5,0,2,1,6,3,8,17,3,0
38,73,9,19,37,0,3,2,2,2,3,6,13,3,2,2,7,3,12,3,6,11,2,0
39,73,10,19,22,0,2,2,3,2,5,7,9,1,1,0,4,0,6,1,4,8,3,0
40,73,10,19,23,0,2,2,2,1,2,4,10,2,1,1,1,1,5,2,6,12,2,0
41,73,10,19,20,0,1,1,5,2,5,6,8,2,0,1,1,0,5,2,6,12,3,0
42,73,11,19,48,0,2,2,2,1,1,3,16,2,4,4,9,5,14,2,7,22,3,0
43,73,11,19,12,0,1,1,0,0,1,1,4,2,0,2,1,0,4,1,4,7,0,0
44,73,11,19,10,0,0,0,2,1,1,1,5,0,1,0,1,0,4,0,3,7,2,0
45,73,12,19,17,0,1,1,4,2,2,2,5,2,1,2,2,0,5,2,6,13,3,0
46,73,12,19,28,0,1,1,0,0,0,1,12,2,3,3,3,1,6,2,5,12,1,0
47,73,12,19,26,0,1,0,3,2,4,4,8,4,0,2,3,1,7,4,8,18,3,0
48,73,13,19,3,0,1,1,1,1,0,0,2,1,0,0,0,0,2,1,1,1,1,0
49,73,13,19,6,0,0,0,0,0,0,0,1,2,0,1,1,0,1,1,2,5,1,0
50,73,13,19,15,0,0,0,1,2,0,2,5,1,0,3,1,1,4,1,3,8,1,0
51,73,13,19,24,0,2,2,0,1,0,3,7,3,2,1,4,1,5,3,6,15,1,0
52,73,13,19,28,0,0,0,2,1,4,4,8,1,3,1,5,1,7,1,5,16,2,0
53,73,13,19,19,0,0,0,3,2,4,3,9,0,1,1,2,0,5,0,4,9,3,0
54,73,14,19,23,0,0,0,2,1,2,1,7,5,1,2,1,0,5,5,9,15,3,0
55,73,14,19,16,0,0,0,0,0,0,0,5,4,1,1,0,1,3,2,2,6,1,0
56,73,14,19,10,0,0,0,2,1,1,1,2,2,1,2,0,0,2,2,3,7,2,0
57,73,15,19,18,0,0,0,3,2,3,1,6,2,2,0,0,1,4,2,5,9,3,0
58,73,15,19,30,0,0,0,0,1,0,0,9,5,1,2,2,2,8,5,9,18,2,0
59,73,15,19,16,0,0,0,3,2,2,1,4,2,1,1,3,0,4,1,3,9,3,0
60,73,15,19,12,0,1,1,1,0,0,3,5,1,2,0,0,1,3,1,3,7,1,0
61,73,16,19,20,0,0,0,4,2,7,4,8,2,0,0,0,1,6,2,3,9,4,1
62,73,16,19,35,0,1,1,3,2,9,9,14,1,0,1,5,1,10,1,6,15,3,0
63,73,16,19,15,0,1,1,1,1,1,3,5,2,1,0,2,0,4,1,3,5,1,0
64,73,16,19,31,0,1,1,2,1,7,10,14,1,0,0,4,1,9,1,4,10,2,0
65,73,17,19,22,0,0,0,3,3,2,1,4,3,3,1,3,0,4,3,4,13,3,0
66,73,17,19,20,0,0,0,1,1,0,1,3,4,1,3,0,2,3,4,7,17,1,0
67,73,17,19,16,0,0,0,2,1,1,1,3,3,2,2,1,1,3,3,5,13,2,0
68,73,17,19,7,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,2,6,0,0
69,73,18,19,32,0,2,2,3,1,2,4,9,5,2,4,4,1,6,4,8,21,2,0
70,73,18,19,17,0,0,0,3,2,1,1,7,1,2,0,1,1,5,1,4,7,2,0
71,73,18,19,17,0,0,0,3,3,2,2,4,1,2,1,3,0,3,1,4,13,3,1
72,73,18,19,40,0,0,0,3,3,5,4,13,3,2,4,6,1,10,3,6,21,3,1
73,73,19,19,15,0,0,0,5,2,3,2,4,1,1,0,1,1,4,1,4,13,3,0
1,26,1,16,25,0,3,3,3,1,0,3,10,2,2,1,5,0,6,2,6,15,2,0
2,26,2,16,9,0,1,1,3,1,0,1,3,2,0,2,0,0,2,2,4,7,1,0
3,26,3,16,25,0,2,2,3,2,2,4,9,3,2,0,3,2,8,2,6,15,3,0
4,26,3,16,21,0,0,0,1,0,0,0,5,2,2,3,4,1,4,2,4,13,2,0
5,26,4,16,22,0,2,2,2,1,1,5,7,4,1,1,4,1,5,3,6,15,3,0
6,26,4,16,28,0,2,3,3,2,2,4,7,6,1,2,3,2,5,5,8,22,5,1
7,26,5,16,30,0,3,3,2,0,2,2,10,3,2,0,5,0,7,2,7,15,2,0
8,26,5,16,18,0,0,0,0,0,0,0,7,3,0,2,3,0,5,2,5,10,3,0
9,26,6,16,25,0,1,0,4,1,1,4,7,3,2,2,3,0,6,3,6,13,2,0
10,26,6,16,17,0,0,0,0,0,0,0,4,3,2,1,4,0,3,2,4,11,1,0
11,26,6,16,13,0,0,0,2,1,0,1,5,2,1,1,0,2,3,1,4,9,2,0
12,26,7,16,30,0,1,1,3,1,0,2,11,4,0,1,6,1,4,4,7,18,2,0
13,26,8,16,8,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,2,7,0,0
14,26,8,16,46,0,5,6,2,2,1,16,15,7,5,3,4,4,9,7,13,32,2,0
15,26,9,16,23,0,0,0,1,1,0,2,7,4,0,0,3,0,5,4,7,13,2,0
16,26,10,16,31,0,0,0,2,1,1,1,8,3,4,1,5,0,8,3,9,23,2,0
17,26,10,16,21,0,0,0,0,0,4,0,4,2,2,0,4,1,4,2,5,14,1,0
18,26,10,16,11,0,1,1,1,1,1,2,4,2,1,0,2,0,3,2,4,6,1,0
19,26,11,16,11,0,0,0,2,1,1,1,3,1,1,2,1,0,2,1,3,9,3,0
20,26,11,16,27,0,1,0,0,0,0,1,10,3,3,2,4,1,7,3,9,19,3,0
21,26,12,16,21,0,2,2,1,1,0,1,5,5,2,0,5,1,5,4,8,15,1,0
22,26,13,16,38,0,3,3,2,1,3,5,12,3,1,1,5,2,9,3,9,21,2,0
23,26,14,16,23,0,1,1,2,1,2,2,4,5,2,1,3,0,4,4,8,19,3,0
24,26,14,16,23,0,2,2,1,1,0,2,6,2,3,4,3,1,5,2,6,19,3,1
25,26,15,16,24,0,4,4,1,1,0,4,11,2,1,1,2,1,6,2,5,11,1,0
26,26,16,16,9,0,1,1,1,0,0,1,2,1,0,2,2,0,2,1,2,7,0,0
1,50,1,15,6,0,1,1,0,0,0,0,3,2,0,0,0,0,2,2,4,5,0,0
2,50,1,15,35,0,0,0,1,1,0,0,10,5,5,4,4,2,9,4,10,23,1,0
3,50,1,15,24,0,1,1,1,0,0,1,4,6,1,2,4,2,4,6,9,20,1,0
4,50,2,15,31,0,0,0,1,0,0,1,9,1,7,3,5,2,8,1,4,17,1,0
5,50,2,15,23,0,0,0,0,0,0,0,5,2,6,0,4,2,4,2,4,17,1,0
6,50,3,15,40,0,2,2,1,0,0,3,13,5,4,3,6,0,11,5,12,25,2,0
7,50,3,15,28,0,2,2,1,0,0,2,9,5,3,2,2,0,6,4,9,18,3,1
8,50,4,15,22,0,4,3,1,1,1,6,8,2,3,1,6,0,5,2,4,9,3,0
9,50,4,15,23,0,1,1,0,0,0,0,3,7,2,0,2,1,3,5,8,20,2,0
10,50,4,15,12,0,1,1,1,0,0,1,1,5,0,2,1,1,1,4,5,11,1,0
11,50,5,15,24,0,2,2,0,1,0,1,7,5,2,0,4,1,7,3,8,13,1,0
12,50,5,15,12,0,0,0,1,0,0,0,3,3,1,2,2,0,3,3,6,12,2,0
13,50,5,15,37,0,1,1,1,0,0,2,8,5,3,6,5,1,6,5,9,29,3,0
14,50,6,15,14,0,0,0,0,0,0,0,2,2,1,0,2,0,2,2,4,12,1,0
15,50,6,15,13,0,2,2,0,0,0,3,5,2,2,0,2,0,4,2,4,7,1,0
16,50,6,15,21,0,0,0,0,0,0,0,6,2,3,3,2,2,6,2,6,16,0,0
17,50,7,15,9,0,1,1,0,0,0,0,3,1,1,1,1,0,3,1,4,9,2,0
18,50,7,15,31,0,0,0,0,0,0,0,7,2,3,3,6,2,7,2,6,20,0,0
19,50,7,15,16,0,0,0,0,0,0,0,2,3,1,1,2,1,2,2,4,12,0,0
20,50,8,15,34,0,0,0,0,0,1,0,10,2,5,1,6,1,7,2,7,22,1,0
21,50,8,15,15,0,0,0,0,0,0,0,6,2,4,0,1,1,3,2,5,11,0,0
22,50,8,15,30,0,2,2,0,0,0,3,11,1,1,2,4,3,8,1,6,18,1,0
23,50,8,15,9,0,1,1,0,0,0,1,2,1,1,1,1,1,2,1,2,5,1,0
24,50,8,15,4,0,1,1,0,0,0,0,2,0,0,1,1,0,2,0,2,4,0,0
25,50,9,15,12,0,0,0,0,0,0,0,5,2,0,0,3,1,5,1,3,4,6,1
26,50,9,15,11,0,1,1,0,1,0,1,6,2,1,0,0,0,4,2,4,6,8,1
27,50,9,15,24,0,1,1,0,1,0,1,8,4,2,1,4,0,6,4,8,16,15,1
28,50,9,15,17,0,1,1,0,1,0,0,6,2,0,1,4,0,4,2,5,11,3,0
29,50,9,15,14,0,1,0,0,1,0,2,3,2,2,0,2,1,2,2,4,10,1,0
30,50,10,15,8,0,2,1,0,1,1,2,3,1,0,0,1,0,3,1,3,5,2,0
31,50,10,15,18,0,1,1,0,0,2,2,8,2,2,0,0,1,4,2,5,8,0,0
32,50,10,15,28,0,0,0,0,0,0,0,6,6,5,1,5,1,5,5,10,21,2,0
33,50,10,15,23,0,1,1,0,0,1,2,6,2,0,4,4,0,5,2,5,15,0,0
34,50,11,15,9,0,2,1,0,1,0,1,3,1,2,0,2,0,3,1,3,5,1,0
35,50,11,15,25,0,0,0,0,1,2,0,5,3,3,4,4,1,4,3,6,19,3,1
36,50,11,15,51,0,0,0,0,2,1,1,13,7,3,4,5,3,11,7,14,33,2,0
37,50,12,15,25,0,3,2,1,1,0,5,13,2,3,1,2,1,8,2,4,9,2,0
38,50,12,15,7,0,0,0,1,0,0,1,4,0,1,1,0,0,2,0,2,3,2,0
39,50,12,15,25,0,1,1,1,1,0,4,8,2,2,1,6,0,6,2,8,22,1,0
40,50,12,15,27,0,4,4,1,3,0,7,11,3,1,2,1,3,7,3,6,15,2,0
41,50,13,15,13,0,1,1,0,1,2,3,4,1,2,0,2,1,3,1,4,12,2,0
42,50,13,15,9,0,0,0,0,1,2,1,3,2,0,0,1,0,3,2,3,7,2,0
43,50,13,15,40,0,3,2,0,1,1,9,16,2,6,0,8,4,11,2,5,13,3,0
44,50,13,15,6,0,1,1,0,0,0,0,3,1,0,0,1,0,2,1,2,3,0,0
45,50,13,15,9,0,1,1,0,1,0,0,5,0,1,0,3,0,4,0,2,4,1,0
46,50,14,15,32,0,2,2,1,3,7,8,12,3,1,1,3,2,8,3,9,24,4,0
47,50,15,15,22,0,1,1,1,0,0,2,8,2,2,0,4,1,3,2,4,15,4,1
48,50,15,15,14,0,0,0,0,0,0,0,4,1,3,1,0,1,4,1,5,14,1,0
49,50,15,15,33,0,0,0,1,0,0,1,9,5,1,1,5,2,8,5,11,23,1,0
50,50,15,15,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
1,9,1,3,13,0,2,2,4,2,2,2,6,3,0,0,0,0,4,1,2,3,5,1
2,9,1,3,32,1,2,2,3,2,2,5,11,3,1,1,5,1,8,3,8,20,5,1
3,9,1,3,24,0,2,1,3,3,1,3,10,1,4,0,5,0,8,1,6,14,5,1
4,9,2,3,30,0,1,1,1,1,1,1,8,9,1,1,3,1,7,6,9,17,2,0
5,9,2,3,31,1,2,2,3,3,3,6,11,4,1,0,6,1,9,4,6,14,3,0
6,9,2,3,33,0,1,1,3,2,2,2,9,5,3,1,4,1,9,5,11,21,4,0
7,9,3,3,19,0,1,1,3,2,1,2,7,1,3,0,2,1,6,1,5,9,3,0
8,9,3,3,31,0,4,4,4,2,1,7,14,2,3,1,5,3,8,1,6,15,4,0
9,9,3,3,24,0,1,1,1,1,0,2,9,4,1,2,2,1,7,3,7,13,2,0
1,9,1,4,14,0,1,0,2,3,2,3,4,2,5,0,0,0,3,2,4,8,2,1
2,9,1,4,21,0,0,0,0,0,2,1,6,2,4,0,2,1,5,2,3,8,2,0
3,9,2,4,32,0,0,0,1,2,3,2,7,3,3,2,6,1,7,3,6,16,2,0
4,9,2,4,16,0,1,1,4,4,1,2,7,2,0,1,2,0,5,2,4,9,5,1
5,9,2,4,15,0,0,0,3,4,1,1,4,2,1,1,3,0,4,2,4,8,3,1
6,9,3,4,34,0,1,1,1,1,0,1,15,3,5,2,4,1,9,2,7,14,2,0
7,9,3,4,24,0,0,0,2,2,2,2,9,3,1,2,4,0,5,3,7,16,3,0
8,9,4,4,18,0,0,0,0,1,1,0,6,1,1,2,2,1,6,1,3,7,1,0
9,9,4,4,33,0,1,1,2,3,1,2,6,6,2,5,4,1,5,6,8,22,2,0
